"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\smartCapillarity\ManuelWorker\ManuelValveWorker.service.ts", "TypeScript", 314, 33, 21, 368
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\smartRoot\rootDetect.service.ts", "TypeScript", 109, 27, 11, 147
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\workGroup\sensors\sensorCardLogs\sensorCardLogs.dto.ts", "TypeScript", 20, 0, -3, 17
"Total", "-", 443, 60, 29, 532
