"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Handlebars", "Markdown", "comment", "blank", "total"
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\SmartRoot\smartRootDetailSecond.entity.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\manuelValveStrategies.entity.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\pumpManagementTypes.entity.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCalibrationLog.entity.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCardLogs.entity.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCardParams.entity.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 3, 90
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCards.entity.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorMoistureLog.entity.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\TimerManagement\timerManagement.entity.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\TimerManagement\timerManagementDetail.entity.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\TimerManagement\timerManagementLogs.entity.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\ValveCards\pumpCardLogs.entity.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\ValveCards\pumpCards.entity.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\ValveCards\valveCardLogs.entity.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\ValveCards\valveCards.entity.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 2, 56
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\workGroup.entity.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\workGroupLogs.entity.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\base.entity.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 6, 20
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\logBase.entity.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 10, 32
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\users\contractType.entity.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\users\permissions.entity.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\users\roles.entity.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\users\subscription.entity.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 6, 49
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\users\userContract.entity.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\users\users.entity.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 2, 61
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\mailer\mailer.module.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 10, 3, 53
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\mailer\mailer.service.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 3, 52
